"market","ticker","date","open","high","low","close","volume","amount"
"CN","000001","2025-10-31","19.783333333333335","20.325","19.675","20","10000000","200000000"
"CN","000001","2025-11-03","19.873333333333335","20.415","19.765","20.09","10000000","200900000"
"CN","000001","2025-11-04","19.963333333333335","20.505","19.855","20.18","10000000","201800000"
"CN","000001","2025-11-05","20.053333333333335","20.595","19.945","20.27","10000000","202700000"
"CN","000001","2025-11-06","20.143333333333334","20.685","20.035","20.36","10000000","203600000"
"CN","000001","2025-11-07","20.233333333333334","20.775","20.125","20.45","10000000","204500000"
"CN","000001","2025-11-10","20.323333333333334","20.865","20.215","20.54","10000000","205400000"
"CN","000001","2025-11-11","20.413333333333334","20.955","20.305","20.63","10000000","206300000"
"CN","000001","2025-11-12","20.503333333333334","21.044999999999998","20.395","20.72","10000000","207200000"
"CN","000001","2025-11-13","20.593333333333334","21.134999999999998","20.485","20.81","10000000","208100000"
"CN","000001","2025-11-14","20.683333333333334","21.224999999999998","20.575","20.9","10000000","209000000"
"CN","000001","2025-11-17","20.773333333333333","21.314999999999998","20.665","20.99","10000000","209899999.99999997"
"CN","000001","2025-11-18","20.863333333333333","21.404999999999998","20.755","21.08","10000000","210799999.99999997"
"CN","000001","2025-11-19","20.953333333333337","21.495","20.845000000000002","21.17","10000000","211700000.00000003"
"CN","000001","2025-11-20","21.043333333333337","21.585","20.935000000000002","21.26","10000000","212600000.00000003"
"CN","000001","2025-11-21","21.133333333333336","21.675","21.025000000000002","21.35","10000000","213500000"
"CN","000001","2025-11-24","21.223333333333336","21.765","21.115000000000002","21.44","10000000","214400000"
"CN","000001","2025-11-25","21.313333333333336","21.855","21.205000000000002","21.53","10000000","215300000"
"CN","000001","2025-11-26","21.403333333333336","21.945","21.295","21.62","10000000","216200000"
"CN","000001","2025-11-27","21.493333333333336","22.035","21.385","21.71","10000000","217100000"
"CN","000001","2025-11-28","21.583333333333336","22.125","21.475","21.8","10000000","218000000"
"CN","000001","2025-12-01","21.673333333333336","22.215","21.565","21.89","10000000","218900000"
"CN","000001","2025-12-02","21.763333333333335","22.305","21.655","21.98","10000000","219800000"
"CN","000001","2025-12-03","21.853333333333335","22.395","21.745","22.07","10000000","220700000"
"CN","000001","2025-12-04","21.943333333333335","22.485","21.835","22.16","10000000","221600000"
"CN","000001","2025-12-05","22.033333333333335","22.575","21.925","22.25","10000000","222500000"
"CN","000001","2025-12-08","22.123333333333335","22.665","22.015","22.34","10000000","223400000"
"CN","000001","2025-12-09","22.213333333333335","22.755","22.105","22.43","10000000","224300000"
"CN","000001","2025-12-10","22.303333333333335","22.845","22.195","22.52","10000000","225200000"
"CN","000001","2025-12-11","22.393333333333334","22.935","22.285","22.61","10000000","226100000"
"CN","000001","2025-12-12","22.483333333333334","23.025","22.375","22.7","10000000","227000000"
"CN","000001","2025-12-15","22.573333333333334","23.115","22.465","22.79","10000000","227900000"
"CN","000001","2025-12-16","22.663333333333334","23.205","22.555","22.88","10000000","228800000"
"CN","000001","2025-12-17","22.753333333333334","23.294999999999998","22.645","22.97","10000000","229700000"
"CN","000001","2025-12-18","22.843333333333334","23.384999999999998","22.735","23.06","10000000","230600000"
"CN","000001","2025-12-19","22.933333333333334","23.474999999999998","22.825","23.15","10000000","231500000"
"CN","000001","2025-12-22","23.023333333333333","23.564999999999998","22.915","23.24","10000000","232399999.99999997"
"CN","000001","2025-12-23","23.113333333333333","23.654999999999998","23.005","23.33","10000000","233299999.99999997"
"CN","000001","2025-12-24","23.203333333333337","23.745","23.095000000000002","23.42","10000000","234200000.00000003"
"CN","000001","2025-12-25","23.293333333333333","23.834999999999997","23.185","23.509999999999998","10000000","235099999.99999997"
"CN","000001","2025-12-26","23.383333333333336","23.925","23.275000000000002","23.6","10000000","236000000"
"CN","000001","2025-12-29","23.473333333333336","24.015","23.365000000000002","23.69","10000000","236900000"
"CN","000001","2025-12-30","23.563333333333336","24.105","23.455000000000002","23.78","10000000","237800000"
"CN","000001","2025-12-31","23.653333333333336","24.195","23.545","23.87","10000000","238700000"
"CN","000001","2026-01-01","23.743333333333336","24.285","23.635","23.96","10000000","239600000"
"CN","000001","2026-01-02","23.833333333333336","24.375","23.725","24.05","10000000","240500000"
"CN","000001","2026-01-05","23.923333333333336","24.465","23.815","24.14","10000000","241400000"
"CN","000001","2026-01-06","24.013333333333335","24.555","23.905","24.23","10000000","242300000"
"CN","000001","2026-01-07","24.103333333333335","24.645","23.995","24.32","10000000","243200000"
"CN","000001","2026-01-08","24.193333333333335","24.735","24.085","24.41","10000000","244100000"
"CN","000001","2026-01-09","24.283333333333335","24.825","24.175","24.5","10000000","245000000"
"CN","000001","2026-01-12","24.373333333333335","24.915","24.265","24.59","10000000","245900000"
"CN","000001","2026-01-13","24.463333333333335","25.005","24.355","24.68","10000000","246800000"
"CN","000001","2026-01-14","24.553333333333335","25.095","24.445","24.77","10000000","247700000"
